Transect_ID,Transect_nickname,Date,Time,Notes,Position_along_transect_m,Soils_bag_ID,Roots_bag_ID,Tube1_ID,Tube1_mass,Tube2_ID,Tube2_mass,Tube3_ID,Tube3_mass,Litter_depth_cm
20.2004,Gabe's Glen,200126,2:50,"Mostly Q. agrifolia, some Q. douglassii",0,20.0473,20.0723,20.0476,1.77,20.0474,1.49,20.0475,full,1.5
20.2004,Gabe's Glen,200126,2:50,,2,20.0141,20.0692,20.0143,1.87,20.0144,1.5,20.0142,full,0.25
20.2004,Gabe's Glen,200126,2:50,,4,20.0145,20.0689,20.0148,1.68,20.0147,1.62,20.0146,full,0.25
20.2004,Gabe's Glen,200126,2:50,,6,20.0053,20.0689,20.0055,1.52,20.0054,1.5,20.0056,full,1.5
20.2004,Gabe's Glen,200126,2:50,,8,20.0397,20.072,20.0398,1.51,20.04,1.48,20.0399,full,0.5
20.2004,Gabe's Glen,200126,2:50,,10,20.0113,20.0731,20.0115,1.78,20.0114,1.62,20.0116,full,0.5
20.2004,Gabe's Glen,200126,2:50,,12,20.0121,20.0684,20.0122,1.72,20.0123,1.73,20.0124,full,1.5
20.2004,Gabe's Glen,200126,2:50,,14,20.0093,20.0675,20.0094,1.79,20.0095,1.54,20.0096,full,0.25
20.2004,Gabe's Glen,200126,2:50,,16,20.0605,20.0658,20.0606,1.8,20.0608,1.57,20.0607,full,0.25
20.2004,Gabe's Glen,200126,2:50,,18,20.0325,20.0679,20.0328,1.65,20.0327,1.62,20.0326,full,3
20.2004,Gabe's Glen,200126,2:50,,20,20.0465,20.0685,20.0466,1.63,20.0467,1.63,20.0468,full,1
20.2004,Gabe's Glen,200126,2:50,,22,20.0209,20.0654,20.021,1.62,20.0211,1.7,20.0212,full,5
20.2004,Gabe's Glen,200126,2:50,,24,20.0281,20.0799,20.0282,1.52,20.0283,1.5,20.0284,full,6
20.2004,Gabe's Glen,200126,2:50,,26,20.0237,20.0698,20.024,1.75,20.0239,1.43,20.0238,full,1
20.2004,Gabe's Glen,200126,2:50,,28,20.0413,20.0767,20.0416,1.17,20.0414,1.14,20.0415,full,8
20.2004,Gabe's Glen,200126,2:50,,30,20.0137,20.0793,20.0139,1.74,20.014,1.52,20.0138,full,1
