Sequence,20-0027-DNA,20-0027-RNA,20-0030-DNA,20-0030-RNA,20-0036-DNA,20-0036-RNA,20-0048-RNA,20-0052-DNA,20-0052-RNA,20-0071-DNA,20-0071-RNA,20-0078-DNA,20-0078-RNA,20-0095-DNA,20-0095-RNA,20-0103-DNA,20-0103-RNA,20-0115-DNA,20-0115-RNA,20-0123-DNA,20-0123-RNA,20-0140-DNA,20-0140-RNA,20-0143-DNA,20-0143-RNA,20-0148-DNA,20-0148-RNA,20-0150-DNA,20-0150-RNA,20-0166-DNA,20-0166-RNA,20-0171-DNA,20-0171-RNA,20-0180-RNA,20-0186-DNA,20-0210-DNA,20-0210-RNA,20-0219-DNA,20-0219-RNA,20-0224-DNA,20-0224-RNA,20-0226-DNA,20-0226-RNA,20-0235-DNA,20-0235-RNA,20-0240-DNA,20-0240-RNA,20-0250-DNA,20-0250-RNA,20-0255-DNA,20-0255-RNA,20-0256-DNA,20-0256-RNA,20-0283-DNA,20-0283-RNA,20-0290-DNA,20-0290-RNA,20-0311-DNA,20-0311-RNA,20-0324-DNA,20-0324-RNA,20-0327-DNA,20-0327-RNA,20-0331-DNA,20-0331-RNA,20-0335-DNA,20-0335-RNA,20-0351-DNA,20-0351-RNA,20-0360-DNA,20-0362-DNA,20-0400-DNA,20-0400-RNA,20-0418-DNA,20-0418-RNA,20-0425-DNA,20-0425-RNA,20-0426-DNA,20-0426-RNA,20-0442-DNA,20-0442-RNA,20-0454-DNA,20-0454-RNA,20-0466-DNA,20-0466-RNA,20-0474-DNA,20-0474-RNA,20-0479-DNA,20-0479-RNA,20-0503-DNA,20-0503-RNA,20-0506-DNA,20-0506-RNA,20-0515-DNA,20-0515-RNA,20-0524-DNA,20-0524-RNA,20-0536-RNA,20-0538-DNA,20-0538-RNA,20-0543-DNA,20-0543-RNA,20-0564-DNA,20-0564-RNA,20-0578-DNA,20-0578-RNA,20-0583-DNA,20-0583-RNA,20-0593-DNA,20-0593-RNA,20-0599-DNA,20-0599-RNA,20-0608-DNA,20-0608-RNA,20-0611-DNA,20-0611-RNA,20-0618-DNA,20-0618-RNA,20-0623-DNA,20-0623-RNA,20-0626-DNA,20-0626-RNA,20-0632-RNA
Seq11,75,47,8,12872,0,14,219,15,143,0,962,21,0,87,0,5,888,0,264,995,25,20339,8901,0,0,1550,0,501,0,159,0,0,105,0,167,0,0,0,302,219,0,12,3802,7107,234,45,0,8250,400,0,198,406,254,0,0,60,0,0,54,0,2,0,72,0,0,456,0,1096,0,1832,293,0,33,8,23,0,1837,475,0,1030,0,4026,0,0,0,19083,0,2742,752,0,361,0,0,0,403,0,3704,0,1416,396,0,78,0,30,25,1956,3267,14,2616,262,0,1412,0,0,8,0,0,0,89,0,0,97,1534
Seq12,6,8,7,0,4,19,196,11,0,0,0,7,0,43,0,18,0,0,0,0,132,11,4,0,0,234,0,0,0,46,0,0,0,0,47,0,0,6,15,175,0,0,0,5,0,79,4,0,96,0,29,3904,2413,0,1115,0,0,0,0,9,0,0,12,0,43,32,0,1635,0,0,4,7,284,465,0,0,156,0,0,8,0,34,2,42,52,3,4,0,0,0,4,0,0,0,2128,0,0,0,10,0,0,0,0,0,46012,7,46,0,0,0,0,0,0,7,4,56991,0,0,0,0,22,0,0
Seq13,0,103,50,0,0,0,364,0,1256,0,730,0,0,254,0,278,2127,0,0,3187,0,7150,184,0,0,16944,0,0,0,3851,338,0,1051,8,783,0,0,1054,0,481,301,0,2635,745,0,313,0,4432,5295,0,1842,10116,4139,363,0,8,0,0,474,868,0,91,0,0,160,0,0,1540,67,5930,0,1224,0,0,557,0,5515,0,0,0,166,0,0,40,0,0,0,5094,364,188,1604,529,471,0,466,0,192,0,0,0,558,0,0,81,87,0,4730,121,583,0,384,175,0,0,0,0,0,183,0,138,0,127,2023
Seq14,0,0,0,0,0,0,0,0,0,10160,0,0,0,0,11179,0,0,0,11521,0,4370,0,0,0,0,0,0,0,0,0,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18753,0,0,0,0,0,0,0,0,0,0,7656,0,0,0,11877,0,0,0,0,0,0,0,0,0,8,0,0,0,13,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6840,0,0,0,0,12219,0,7880,0,0
Seq15,0,103,0,0,0,0,903,0,2898,3,2117,0,0,1743,0,0,3591,0,38,36,0,392,0,0,0,2624,0,0,2075,120,26,0,4515,1248,613,0,0,80,0,110,0,0,0,0,0,19,0,0,765,0,56,1796,17,0,0,0,0,3,0,10129,0,0,171,0,0,0,59,821,0,49,0,5556,0,8,53,0,0,27,0,2,1793,0,0,0,0,0,0,225,3199,3054,3104,22,0,0,2277,0,9135,0,0,0,0,0,0,1656,0,0,2716,18,3193,0,10048,0,0,0,0,0,0,643,406,15408,20,0,161
Seq16,0,0,0,0,0,0,0,0,8402,2,7,0,0,2077,0,0,5022,0,4704,9,0,2797,0,0,0,0,120,0,8030,0,4945,0,19,0,93,0,0,151,0,0,15,55,1770,0,0,0,0,1749,15,0,0,60,24,0,0,0,0,0,0,0,0,1910,0,0,0,0,1646,0,0,0,0,4,2016,0,0,0,80,2093,5,0,0,0,0,10,0,0,0,2450,0,1571,0,4079,0,0,0,0,3553,0,8,0,0,0,0,1103,0,0,0,0,0,0,33198,0,3,0,0,0,0,0,0,218,16,0,1912
Seq17,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,5,8880,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,109,0,13,16600,0,0,0,0,0,0,0,0,0,970,0,2192,14723,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,43411,0,0,0,0,0,3,5793,0
Seq18,10,5,0,0,0,0,0,21,0,0,0,16,0,0,5765,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1009,0,0,0,0,0,0,0,0,9,0,11419,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,0,0,0,0,26663,0,43701,0,0
Seq19,141,0,0,52,0,604,0,0,0,0,0,0,342,0,0,243,0,0,5713,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,53,48,167,0,0,0,1510,0,0,0,0,0,0,0,0,0,19,0,395,0,0,209,0,0,11936,0,0,0,11205,0,0,0,0,15787,0,4611,0,7,0,0,6791,0,0,0,6005,0,0,0,211,0,0,0,0,0,0,99,0,0,9072,0,0,74,0,271,36,0,0,1156,3662,0,0,20,3221,0,346,0,0,28,15,0,0,0,0,0,4450,0
Seq20,0,595,0,0,2,30262,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9021,1748,0,0,8,9,0,0,13675,334,0,49,0,10,0,0,0,0,239,7,62,0,0,0,0,0,0,0,0,26373,1260,2834,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,46,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0
