Sequence,root,cellular,domain,group,kingdom,,,,,,,,,,,,,,,,,,,,,,
Seq1212,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1257,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1260,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1279,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1283,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1311,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1319,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1349,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1408,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1443,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1454,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1456,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1460,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1549,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1560,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1585,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1597,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1603,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1607,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1628,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1753,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1757,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1772,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1779,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1784,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1801,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1802,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1833,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1841,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1871,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1903,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1947,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1949,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1972,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1988,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1991,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq1999,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2018,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2022,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2034,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2047,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2069,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2073,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2075,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2090,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2114,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2131,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2139,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2160,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2172,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2184,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2186,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2212,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2233,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2239,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2253,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2261,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2270,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2289,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2291,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2315,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
Seq2359,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,
